band,x,y,spatial_ref,admin_commune_2024_10m_b1,admin_quartiers_2024_10m_b1,air_temperature_2017_month_mean_10m_b12,dem_2019_10m_b1,dem_aspect_2019_10m_b1,dem_slope_2019_10m_b1,dem_surface_model_2019_10m_b1,flood_map_2021_10m_b1,hrl_treecover_2018_10m_b1,land_cover_2021_10m_b1,land_use_07_15_18_21_10m_b4,pH_CaCl_10m_b1,protected_areas_2023_10m_b1,public_forests_2024_10m_b1,shadow_2019_10m_b1,soil_map_25000_10m_main_classes_b1,soil_nitrat_10m_b1,twi_2019_10m_b1,Heracleum Mantegazzianum
1,76835.0,75785.0,0,75.0,26.0,289.95737,310.0,-9999.0,0.0,311.562,0.0,0.0,20.0,650.0,5.3336563,0.0,-3.4028235e+38,0.068114564,5.0,2.3231602,0.22225435,False
1,76835.0,77165.0,0,35.0,18.0,290.03833,273.0,209.74489,11.395654,284.28442,0.0,59.0,70.0,313.0,5.458964,0.0,-3.4028235e+38,0.6028198,5.0,2.5820398,0.19227979,False
1,76835.0,76015.0,0,75.0,27.0,289.81122,314.0,161.56505,2.263636,329.17358,0.0,0.0,10.0,111.0,5.360692,0.0,-3.4028235e+38,0.45622632,5.0,2.2788177,0.22168222,False
1,76835.0,74865.0,0,75.0,26.0,290.95145,291.0,161.56505,4.520228,309.5739,0.0,67.0,70.0,111.0,5.279461,0.0,-3.4028235e+38,0.7382061,5.0,1.933569,0.19029163,False
1,76835.0,76005.0,0,75.0,27.0,289.81122,314.0,-9999.0,0.0,321.9751,0.0,0.0,10.0,111.0,5.360692,0.0,-3.4028235e+38,0.31506526,5.0,2.2788177,0.22278701,False
1,76835.0,75415.0,0,75.0,26.0,290.09647,305.0,-9999.0,0.0,328.86044,0.0,69.0,70.0,133.0,5.2701225,0.0,-3.4028235e+38,0.5473964,5.0,2.3165426,0.18606493,False
1,76835.0,74865.0,0,75.0,26.0,290.95145,291.0,161.56505,4.520228,309.5739,0.0,67.0,70.0,111.0,5.279461,0.0,-3.4028235e+38,0.7382061,5.0,1.933569,0.19029163,False
1,76835.0,76315.0,0,75.0,27.0,289.95203,322.0,135.0,3.0357237,324.23526,0.0,0.0,20.0,111.0,5.396954,0.0,-3.4028235e+38,0.4727804,5.0,2.3546526,0.19707482,False
1,76835.0,75005.0,0,75.0,26.0,290.92688,296.0,261.8699,5.051152,307.70758,0.0,77.0,70.0,133.0,5.2610993,0.0,-3.4028235e+38,0.78834593,5.0,2.0685418,0.19164787,False
1,76835.0,75655.0,0,75.0,26.0,289.87265,310.0,-9999.0,0.0,316.25577,0.0,0.0,10.0,111.0,5.317751,0.0,-3.4028235e+38,0.45221737,5.0,2.3547523,0.25986853,False
1,76835.0,78295.0,0,35.0,1.0,289.0913,299.0,70.346176,20.387669,311.66403,0.0,94.0,70.0,313.0,5.353417,0.0,1.0,0.81722426,5.0,2.2379363,0.24478182,False
1,76835.0,76935.0,0,35.0,9.0,289.72485,249.0,-9999.0,0.0,262.22675,0.0,0.0,10.0,111.0,5.456211,0.0,-3.4028235e+38,0.09293048,5.0,2.6372018,0.20822611,False
1,76835.0,74785.0,0,61.0,14.0,289.48108,272.0,135.0,8.049468,279.23373,0.0,66.0,10.0,111.0,5.325632,0.0,-3.4028235e+38,0.63521343,5.0,1.933569,0.1759093,False
1,76835.0,75295.0,0,75.0,26.0,289.51752,303.0,198.43495,2.263636,314.60953,0.0,0.0,10.0,111.0,5.2606454,0.0,-3.4028235e+38,0.5325401,5.0,2.2724733,0.20071578,False
1,76835.0,79015.0,0,35.0,1.0,289.9322,246.0,63.43495,6.3793707,246.0691,0.0,0.0,91.0,220.0,5.5168977,0.0,-3.4028235e+38,0.07672727,2.0,2.541572,0.2384592,False
